SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,MARKETDIST
PAST SALE,April-9-2021,Single Family Residential,12539 Matteson Ave,Los Angeles,CA,90066,1875000,3,3,Palms - Mar Vista,1790,5687,1947,186,1047,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12539-Matteson-Ave-90066/home/6739484,TheMLS,21-674690,N,Y,34.0007964,-118.435272,
PAST SALE,December-4-2020,Single Family Residential,3732 Colonial Ave,Los Angeles,CA,90066,2390000,4,3,Palms - Mar Vista,2438,5617,2020,312,980,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3732-Colonial-Ave-90066/home/6747120,TheMLS,20-641230,N,Y,34.0053367,-118.4358102,
PAST SALE,March-5-2021,Single Family Residential,3610 Wade St,Los Angeles,CA,90066,3754000,4,4.5,Palms - Mar Vista,4298,8261,2019,221,873,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3610-Wade-St-90066/home/6746848,TheMLS,21-676960,N,Y,34.005921,-118.4410906,0.9
PAST SALE,June-3-2021,Single Family Residential,3159 Barry Ave,Los Angeles,CA,90066,2634600,3,3,C13 - Palms - Mar Vista,2140,7482,1947,131,1231,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3159-Barry-Ave-90066/home/6750205,CRISNet,SR21071817,N,Y,34.0209143,-118.4359079,
PAST SALE,,Single Family Residential,3655 Stewart Ave,Los Angeles,CA,90066,1515000,3,3,,1784,3734,1948,,849,,,,,http://www.redfin.com/CA/Los-Angeles/3655-Stewart-Ave-90066/home/6746866,,,N,Y,34.0051992,-118.4398809,
PAST SALE,April-6-2021,Single Family Residential,3675 Stewart Ave,Los Angeles,CA,90066,1625000,2,2,C13 - Palms - Mar Vista,1099,3457,1940,189,1479,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3675-Stewart-Ave-90066/home/6746868,CRMLS,SB21008773,N,Y,34.004748,-118.4396071,
PAST SALE,February-25-2021,Single Family Residential,3779 Wade St,Los Angeles,CA,90066,1847350,4,2,C13 - Palms - Mar Vista,2328,5401,1939,229,794,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3779-Wade-St-90066/home/6747301,CRISNet,SR20179854,N,Y,34.0020743,-118.4387857,
PAST SALE,January-22-2021,Single Family Residential,3605 Wade St,Los Angeles,CA,90066,3150000,5,4.5,Palms - Mar Vista,3108,5874,2018,263,1014,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3605-Wade-St-90066/home/6746897,TheMLS,20-670788,N,Y,34.0058152,-118.4415693,
PAST SALE,,Single Family Residential,4141 Marcasel Ave,Los Angeles,CA,90066,1550000,3,1,,1100,11939,1942,,1409,,,,,http://www.redfin.com/CA/Los-Angeles/4141-Marcasel-Ave-90066/home/6738253,,,N,Y,33.9998271,-118.4225969,
PAST SALE,January-8-2021,Single Family Residential,3601 Colonial Ave,Los Angeles,CA,90066,1770000,4,2.5,Palms - Mar Vista,2303,7500,1930,277,769,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3601-Colonial-Ave-90066/home/6746756,TheMLS,20-657046,N,Y,34.0075207,-118.4383577,
PAST SALE,July-22-2021,Single Family Residential,12930 Dewey St,Los Angeles,CA,90066,2750000,4,3.5,Palms - Mar Vista,2295,6069,1953,82,1198,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12930-Dewey-St-90066/home/6747645,TheMLS,21-719990,N,Y,34.0117614,-118.4513342,
PAST SALE,December-22-2020,Single Family Residential,12424 Rose Ave,Los Angeles,CA,90066,2920000,4,4.5,Palms - Mar Vista,3135,5700,1947,294,931,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12424-Rose-Ave-90066/home/6748016,TheMLS,20-639658,N,Y,34.0141497,-118.4427534,
PAST SALE,August-16-2021,Single Family Residential,3316 Meier St,Los Angeles,CA,90066,2251000,3,2,Palms - Mar Vista,1471,5281,1956,57,1530,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3316-Meier-St-90066/home/6747883,TheMLS,21-759784,N,Y,34.0116659,-118.4473714,1.5
PAST SALE,October-6-2021,Single Family Residential,3310 Meier St,Los Angeles,CA,90066,2300000,3,2,Palms - Mar Vista,2242,7261,1956,6,1026,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3310-Meier-St-90066/home/6747885,TheMLS,21-777894,N,Y,34.0118445,-118.4475013,
